curb,tree_size_mean,tree_size_range,tree_size_median,tree_size_max
N,573.060650863324,0,251.2,42718.130000000005
N,573.060650863324,42718.130000000005,251.2,42718.130000000005
Y,459.0977373572459,0,183.69,299815.05
Y,459.0977373572459,299815.05,183.69,299815.05
